DateKey,CalendarYear,CalendarYearLabel,CalendarHalfYearLabel,CalendarQuarterLabel,CalendarMonthLabel,CalendarWeekLabel,CalendarDayOfWeekLabel,FiscalYear,FiscalYearLabel,FiscalHalfYearLabel,FiscalQuarterLabel,FiscalMonthLabel,IsWorkDay,IsHoliday,EuropeSeason,NorthAmericaSeason,AsiaSeason,MonthNumber,CalendarDayOfWeekNumber
1/01/2019,2019,Year 2019,H1,Q1,January,Week 1,Saturday,2019,FiscalYear 2019,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,6
2/01/2019,2019,Year 2019,H1,Q1,January,Week 2,Sunday,2019,FiscalYear 2019,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,7
3/01/2019,2019,Year 2019,H1,Q1,January,Week 2,Monday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,1
4/01/2019,2019,Year 2019,H1,Q1,January,Week 2,Tuesday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,2
5/01/2019,2019,Year 2019,H1,Q1,January,Week 2,Wednesday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,3
6/01/2019,2019,Year 2019,H1,Q1,January,Week 2,Thursday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,4
7/01/2019,2019,Year 2019,H1,Q1,January,Week 2,Friday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,5
8/01/2019,2019,Year 2019,H1,Q1,January,Week 2,Saturday,2019,FiscalYear 2019,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,6
9/01/2019,2019,Year 2019,H1,Q1,January,Week 3,Sunday,2019,FiscalYear 2019,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,7
10/01/2019,2019,Year 2019,H1,Q1,January,Week 3,Monday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,1
11/01/2019,2019,Year 2019,H1,Q1,January,Week 3,Tuesday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,2
12/01/2019,2019,Year 2019,H1,Q1,January,Week 3,Wednesday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,3
13/01/2019,2019,Year 2019,H1,Q1,January,Week 3,Thursday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,4
14/01/2019,2019,Year 2019,H1,Q1,January,Week 3,Friday,2019,FiscalYear 2019,H1,Q1,Month 1,WorkDay,No,Holiday,Spring/Back to Business,Holiday,1,5
15/01/2019,2019,Year 2019,H1,Q1,January,Week 3,Saturday,2019,FiscalYear 2019,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,6
16/01/2019,2019,Year 2019,H1,Q1,January,Week 4,Sunday,2019,FiscalYear 2019,H1,Q1,Month 1,WeekEnd,Yes,Holiday,Spring/Back to Business,Holiday,1,7
